Region,Year,annual_rainfall_mm,rainfall_std_mm,mean_temp_C,max_temp_C,min_temp_C
South_East,2009,1310.6699999999998,69.88800548995253,25.52186975166411,33.33,14.83
South_East,2010,1783.65,108.68317316652774,25.579395097286227,34.24,14.66
South_East,2011,1594.09,111.96230895491192,25.00094962877624,32.52,11.98
South_East,2012,1520.82,91.95274483025605,25.06601523297491,32.74,14.28
South_East,2013,1596.22,84.01324666474636,25.29508915770609,32.96,13.02
South_East,2014,1060.58,65.51195835783561,25.579416026625704,33.06,15.08
South_East,2015,1137.81,73.61156000187124,25.363683755760366,33.58,12.58
South_East,2016,1477.8799999999999,104.55649358846705,25.817212241997282,36.41,14.55
South_East,2017,1557.39,117.03226696669444,25.72606912442396,33.65,15.65
South_East,2018,1563.72,126.61785289889919,25.516057091653867,34.25,11.39
South_East,2019,1601.35,132.05919261372105,25.73174545570917,33.5,15.39
South_East,2020,1630.95,145.6559426197728,25.647846496106784,34.96,13.24
South_East,2021,1288.82,85.42368490310076,25.726980158730157,34.38,16.03
South_East,2022,1234.16,92.26435471792534,25.548112071172554,36.08,13.04
South_East,2023,1108.57,88.31362701998057,26.27099814388121,35.71,14.63
South_South,1990,1576.41,82.5761035348605,25.57452668970814,34.43,16.51
South_South,1991,1621.47,102.79456017840987,25.366119431643625,32.48,15.61
South_South,1992,2725.61,181.78359469226706,24.98932344580398,35.16,13.3
South_South,1993,2507.42,140.51059130790452,25.13287314388121,33.84,14.87
South_South,1994,2843.82,188.73933913300544,25.069088069636454,33.45,16.0
South_South,1995,3186.73,201.4485737424785,25.260917050691244,33.4,16.52
South_South,1996,2727.5,186.4588214755757,25.264880577184528,33.92,17.64
South_South,1997,2339.5299999999997,132.39932954089602,25.26055357142857,33.91,15.87
South_South,1998,2065.03,156.87451299212103,25.856622695852536,35.6,15.65
South_South,1999,1547.73,96.38442651694308,25.51846166154634,33.38,16.74
South_South,2000,3070.5,236.6847228814199,25.265042763564455,33.63,16.22
South_South,2001,2563.36,133.46905002715616,25.202024897593446,32.96,15.05
South_South,2002,2164.28,155.48369972054266,25.478033986175117,33.66,14.93
South_South,2003,1924.1100000000001,93.50245860890018,25.7005907578085,33.8,16.46
South_South,2004,1973.1399999999999,117.57648093771547,25.69198887652948,33.95,17.19
South_South,2005,2083.77,189.84437450065636,25.827182091653867,33.17,13.67
South_South,2006,2537.04,225.517292947086,25.692440412186382,33.48,15.15
South_South,2007,3178.84,230.1310870839145,25.47491237839222,33.56,14.14
South_South,2008,1740.95,115.26478642738864,25.48714636633296,32.66,15.39
South_South,2009,2037.6200000000001,110.27429040461982,25.808108998975936,33.29,18.05
South_South,2010,2387.82,126.64098729730578,26.005787570404504,34.19,16.61
South_South,2011,2384.22,166.86445056882656,25.51413543266769,32.85,15.23
South_South,2012,2276.2999999999997,128.35534325622848,25.450685082190088,32.49,16.44
South_South,2013,2535.81,127.10451813191168,25.548291154633898,33.36,15.76
South_South,2014,1514.48,90.19645511410918,25.85751689708141,33.57,18.09
South_South,2015,2077.94,127.00366858218439,25.64871486175115,34.5,13.47
South_South,2016,2375.06,152.4348276735956,26.071593066370042,34.54,15.66
South_South,2017,2741.98,175.61465526095552,25.99373009472606,33.66,18.29
South_South,2018,2459.69,143.0664367893674,25.879319764464924,34.24,13.98
South_South,2019,2605.53,170.7394051617845,26.06271831797235,33.27,17.64
South_South,2020,2747.45,209.91318796364513,26.035132276603633,34.29,14.91
South_South,2021,2548.17,126.43626832411368,26.042611879160265,33.5,18.6
South_South,2022,2433.67,160.4150297004239,25.795860151049666,33.79,15.29
South_South,2023,1914.76,133.94510071690044,26.198142409114183,33.95,17.6
South_West,1990,1439.5,77.47446944091658,25.185053571428572,35.22,16.61
South_West,1991,1584.69,129.5800635005948,25.004937788018434,33.55,13.42
South_West,1992,1334.73,102.17458971824115,24.700460388085528,35.52,12.06
South_West,1993,1697.03,115.93015612532585,25.048473822324627,35.3,14.52
South_West,1994,1701.8899999999999,114.89195726723857,24.732104838709677,33.52,14.1
South_West,1995,2074.4500000000003,137.16976624595415,24.932865911418332,33.24,15.75
South_West,1996,1595.48,110.38266632149464,25.030276325546904,33.08,16.99
South_West,1997,1844.97,101.87489592855812,24.99247228622632,34.28,14.37
South_West,1998,1539.71,103.3565484980233,25.418422363031237,34.52,14.6
South_West,1999,1431.32,98.15996548615135,24.963544674859193,32.69,14.96
